OrgName	seqLen	oriSP	oriEP	Ter	
NC_008601	1910031	190964	144	95554	
bgBrickID	bgBrickType	brickType	brickSP	brickEP	Strand	EG	distToOri	direction	
2	CR	CDS	145	1620	+	+	1	+	
4	CR	CDS	1657	2760	+	-	1513	+	
6	CR	CDS	2791	4044	-	-	2647	+	
8	CR	CDS	4244	5767	+	-	4100	+	
10	CR	CDS	5832	6803	+	-	5688	+	
12	CR	ND	6816	7283	-	-	6672	+	
14	CR	CDS	7361	7678	-	-	7217	+	
16	CR	CDS	7768	8640	-	-	7624	+	
18	CR	CDS	8784	8966	+	+	8640	+	
20	CR	CDS	9372	9806	-	+	9228	+	
22	CR	CDS	10041	10220	-	-	9897	+	
24	CR	CDS	10217	10438	-	-	10073	+	
26	CR	CDS	10936	11835	-	-	10792	+	
28	CR	CDS	11832	12728	-	+	11688	+	
30	CR	CDS	12732	12911	-	+	12588	+	
32	CR	CDS	13107	13781	-	-	12963	+	
34	CR	CDS	13786	15027	-	-	13642	+	
36	CR	CDS	15685	16908	-	+	15541	+	
38	CR	CDS	17049	17975	-	-	16905	+	
40	CR	CDS	18117	21401	-	-	17973	+	
42	CR	CDS	21406	22572	-	-	21262	+	
44	CR	CDS	22992	24047	+	+	22848	+	
46	CR	CDS	24068	24748	-	+	23924	+	
48	CR	CDS	24880	26226	+	-	24736	+	
50	CR	CDS	26210	26797	-	-	26066	+	
52	CR	CDS	27076	27330	+	-	26932	+	
54	CR	CDS	28044	28595	+	+	27900	+	
56	CR	CDS	28711	29763	-	-	28567	+	
58	CR	CDS	29750	30715	-	-	29606	+	
60	CR	CDS	30802	31209	-	-	30658	+	
62	CR	CDS	31335	32204	+	-	31191	+	
64	CR	CDS	32205	32831	-	+	32061	+	
66	CR	CDS	32974	33522	+	-	32830	+	
68	CR	CDS	33577	36951	-	-	33433	+	
70	CR	CDS	37218	37862	+	-	37074	+	
72	CR	CDS	37864	38604	+	-	37720	+	
74	CR	CDS	40003	40347	-	-	39859	+	
76	CR	CDS	40366	40650	-	+	40222	+	
78	CR	CDS	40653	41078	-	+	40509	+	
80	CR	CDS	41093	44347	-	-	40949	+	
82	CR	CDS	44366	46582	-	+	44222	+	
84	CR	CDS	46882	47439	+	-	46738	+	
86	CR	CDS	47436	48968	+	-	47292	+	
88	CR	CDS	49002	49649	+	-	48858	+	
90	CR	tRNA	49665	50744	+	-	49521	+	
92	CR	CDS	50758	53736	+	-	50614	+	
94	CR	CDS	53754	57530	+	-	53610	+	
96	CR	CDS	57540	58760	+	-	57396	+	
98	CR	CDS	58770	59594	+	-	58626	+	
100	CR	CDS	59569	61092	+	+	59425	+	
102	CR	CDS	61102	61710	+	-	60958	+	
104	CR	CDS	61717	63780	+	-	61573	+	
106	CR	CDS	63789	64394	+	-	63645	+	
108	CR	CDS	64387	64767	+	-	64243	+	
110	CR	CDS	64847	65683	-	-	64703	+	
112	CR	CDS	65951	66388	-	-	65807	+	
114	CR	CDS	66662	67894	-	-	66518	+	
116	CR	CDS	67913	69628	-	-	67769	+	
118	CR	CDS	69704	70783	-	+	69560	+	
120	CR	CDS	70785	71354	-	-	70641	+	
122	CR	CDS	71357	72766	-	-	71213	+	
124	CR	CDS	72768	74348	-	+	72624	+	
126	CR	CDS	74359	75246	-	-	74215	+	
128	CR	CDS	75645	78278	-	-	75501	+	
130	CR	CDS	78555	78869	-	-	78411	+	
132	CR	CDS	79068	81317	-	-	78924	+	
134	CR	CDS	81418	82032	-	-	81274	+	
136	CR	CDS	82047	82583	-	+	81903	+	
138	CR	CDS	82586	83155	-	+	82442	+	
140	CR	CDS	83196	83603	-	-	83052	+	
142	CR	CDS	83616	84539	-	-	83472	+	
144	CR	CDS	84600	85499	-	-	84456	+	
146	CR	CDS	85506	87161	-	-	85362	+	
148	CR	CDS	87170	87418	-	-	87026	+	
150	CR	CDS	87394	87747	-	-	87250	+	
152	CR	CDS	87737	87871	-	-	87593	+	
154	CR	CDS	87963	88421	-	-	87819	+	
156	CR	CDS	88548	89321	+	-	88404	+	
158	CR	CDS	89393	90748	+	+	89249	+	
160	CR	CDS	90741	91613	+	-	90597	+	
162	CR	CDS	91624	92358	-	-	91480	+	
164	CR	CDS	92435	92998	+	-	92291	+	
166	CR	CDS	93070	93828	+	-	92926	+	
