OrgName	seqLen	oriSP	oriEP	Ter	
NC_005966	3598621	3598158	200	1799179	
bgBrickID	bgBrickType	brickType	brickSP	brickEP	Strand	EG	distToOri	direction	
2	CR	CDS	201	1598	+	+	1	+	
4	CR	CDS	1834	2982	+	-	1634	+	
6	CR	CDS	2998	4074	+	-	2798	+	
8	CR	CDS	4127	6595	+	-	3927	+	
10	CR	CDS	6712	6948	-	-	6512	+	
12	CR	ND	6969	7139	+	-	6769	+	
14	CR	CDS	7336	9270	-	-	7136	+	
16	CR	CDS	9651	10661	+	-	9451	+	
18	CR	CDS	10910	11920	+	+	10710	+	
20	CR	CDS	12039	12374	+	+	11839	+	
22	CR	CDS	12436	13566	-	-	12236	+	
24	CR	CDS	13646	14860	+	-	13446	+	
26	CR	CDS	15431	15685	+	-	15231	+	
28	CR	CDS	15927	17882	+	+	15727	+	
30	CR	CDS	18416	19945	+	+	18216	+	
32	CR	CDS	20007	20083	+	-	19807	+	
34	CR	CDS	20120	20195	+	-	19920	+	
36	CR	CDS	20539	23437	+	+	20339	+	
38	CR	CDS	23623	23738	+	-	23423	+	
40	CR	CDS	23916	24530	+	-	23716	+	
42	CR	CDS	24584	24895	+	-	24384	+	
44	CR	CDS	25116	25658	-	+	24916	+	
46	CR	CDS	25757	26239	-	+	25557	+	
48	CR	CDS	26232	26771	-	-	26032	+	
50	CR	CDS	26764	29601	-	-	26564	+	
52	CR	CDS	29666	30667	-	-	29466	+	
54	CR	CDS	30876	32000	+	+	30676	+	
56	CR	CDS	32045	32845	+	-	31845	+	
58	CR	CDS	32918	33535	-	-	32718	+	
60	CR	CDS	33988	35097	+	-	33788	+	
62	CR	CDS	35094	35831	+	-	34894	+	
64	CR	CDS	35844	36224	+	+	35644	+	
66	CR	CDS	36303	36869	+	-	36103	+	
68	CR	CDS	36899	38263	+	-	36699	+	
70	CR	CDS	38279	39151	+	-	38079	+	
72	CR	CDS	39182	39991	-	-	38982	+	
74	CR	CDS	39995	40795	-	-	39795	+	
76	CR	CDS	40792	41982	-	+	40592	+	
78	CR	CDS	42005	43012	-	+	41805	+	
80	CR	CDS	43039	44061	-	-	42839	+	
82	CR	CDS	44434	45789	-	+	44234	+	
84	CR	CDS	45901	46203	-	-	45701	+	
86	CR	CDS	46379	46786	-	-	46179	+	
88	CR	CDS	47056	47802	-	-	46856	+	
90	CR	tRNA	47833	48540	-	-	47633	+	
92	CR	CDS	48537	49253	-	-	48337	+	
94	CR	CDS	49432	50052	+	-	49232	+	
96	CR	CDS	50137	50811	-	-	49937	+	
98	CR	CDS	50905	51540	-	-	50705	+	
100	CR	CDS	51732	52754	+	+	51532	+	
102	CR	CDS	52789	53940	+	-	52589	+	
104	CR	CDS	54008	54763	+	-	53808	+	
106	CR	CDS	54987	55442	+	-	54787	+	
108	CR	CDS	55435	55983	+	-	55235	+	
110	CR	CDS	55985	56617	+	-	55785	+	
112	CR	CDS	56618	57070	+	-	56418	+	
114	CR	CDS	57346	57474	+	-	57146	+	
116	CR	CDS	57531	57689	+	-	57331	+	
118	CR	CDS	57779	58168	+	+	57579	+	
120	CR	CDS	58242	58427	+	-	58042	+	
122	CR	CDS	58409	58615	+	-	58209	+	
124	CR	CDS	58923	59048	+	+	58723	+	
126	CR	CDS	59058	59261	+	-	58858	+	
128	CR	CDS	59258	60127	-	-	59058	+	
130	CR	CDS	60290	60880	+	-	60090	+	
132	CR	CDS	60933	62480	+	-	60733	+	
134	CR	CDS	62660	63358	-	-	62460	+	
136	CR	CDS	63404	64111	-	+	63204	+	
138	CR	CDS	64281	66491	-	+	64081	+	
140	CR	CDS	66506	66937	-	-	66306	+	
142	CR	CDS	66934	68037	-	-	66734	+	
144	CR	CDS	68507	69670	+	-	68307	+	
146	CR	CDS	69689	70573	+	-	69489	+	
148	CR	CDS	70563	71492	+	-	70363	+	
150	CR	CDS	71489	72739	+	-	71289	+	
152	CR	CDS	72769	73839	+	-	72569	+	
154	CR	CDS	73858	74766	+	-	73658	+	
156	CR	CDS	74767	75666	+	-	74567	+	
158	CR	CDS	75737	76300	+	+	75537	+	
160	CR	CDS	76314	77393	+	-	76114	+	
162	CR	CDS	77383	78330	+	-	77183	+	
164	CR	CDS	78350	79315	+	-	78150	+	
166	CR	CDS	79335	80354	+	-	79135	+	
168	CR	CDS	80367	81164	+	-	80167	+	
170	CR	CDS	81192	82610	-	-	80992	+	
172	CR	CDS	82926	84218	+	+	82726	+	
174	CR	CDS	84248	85279	+	+	84048	+	
176	CR	tRNA	85279	86574	+	-	85079	+	
178	CR	tRNA	86571	87671	+	-	86371	+	
180	CR	tRNA	87684	88775	+	-	87484	+	
182	CR	tRNA	88784	89920	+	-	88584	+	
184	CR	CDS	89914	90528	+	+	89714	+	
186	CR	CDS	90509	91195	+	-	90309	+	
188	CR	CDS	91199	92374	+	+	90999	+	
190	CR	CDS	92376	94265	+	-	92176	+	
192	CR	CDS	94679	96043	+	-	94479	+	
194	CR	CDS	96123	97010	+	-	95923	+	
196	CR	CDS	97037	98308	+	-	96837	+	
198	CR	CDS	98305	99978	+	-	98105	+	
200	CR	ND	99971	100990	+	-	99771	+	
202	CR	CDS	101027	102733	+	-	100827	+	
204	CR	CDS	102792	104165	-	-	102592	+	
206	CR	CDS	104308	105207	-	-	104108	+	
208	CR	CDS	105761	107416	+	+	105561	+	
210	CR	CDS	107440	108192	+	+	107240	+	
212	CR	ND	108189	109343	+	-	107989	+	
214	CR	CDS	109347	111065	+	-	109147	+	
216	CR	CDS	111193	112650	+	-	110993	+	
218	CR	CDS	112714	112977	-	-	112514	+	
220	CR	CDS	113131	114345	-	-	112931	+	
222	CR	CDS	115051	115521	-	-	114851	+	
224	CR	CDS	115660	116919	+	-	115460	+	
226	CR	CDS	116951	118048	+	-	116751	+	
228	CR	CDS	118060	118419	+	-	117860	+	
230	CR	CDS	118673	120052	+	-	118473	+	
232	CR	CDS	120579	121100	+	-	120379	+	
234	CR	CDS	121215	121931	+	-	121015	+	
236	CR	CDS	121944	124553	+	-	121744	+	
