bgBrickID	bgBrickType	brickType	bgSP	bgEP	brickLen	Strand	operonID	geneName	locus_tag	pseudoGene	EG	funCat	COG_Num	KO_Num	GO_FunNum	GO_ProcNum	GO_CompNum	locus	seqLen	circular	organism	
1	ICR	PP	2814603	516	730													NC_002745	2814816	+	Staphylococcus aureus subsp. aureus N315	
2	CR	CDS	517	1878	1362	-1	+	dnaA	SA0001	-	+	L 						NC_002745	2814816	+	Staphylococcus aureus subsp. aureus N315	
3	ICR	TP	1879	2155	277													NC_002745	2814816	+	Staphylococcus aureus subsp. aureus N315	
4	CR	CDS	2156	3289	1134	-1	+	dnaN	SA0002	-	-	X						NC_002745	2814816	+	Staphylococcus aureus subsp. aureus N315	
5	ICR	TP	3290	3669	380													NC_002745	2814816	+	Staphylococcus aureus subsp. aureus N315	
6	CR	CDS	3670	3915	246	-1	+	SA0003	SA0003	-	-	X						NC_002745	2814816	+	Staphylococcus aureus subsp. aureus N315	
7	ICR	TP	3916	3911	-4													NC_002745	2814816	+	Staphylococcus aureus subsp. aureus N315	
8	CR	CDS	3912	5024	1113	-1	+	recF	SA0004	-	-	L 						NC_002745	2814816	+	Staphylococcus aureus subsp. aureus N315	
9	ICR	TP	5025	5033	9													NC_002745	2814816	+	Staphylococcus aureus subsp. aureus N315	
10	CR	CDS	5034	6968	1935	-1	+	gyrB	SA0005	-	-	L 						NC_002745	2814816	+	Staphylococcus aureus subsp. aureus N315	
11	ICR	TP	6969	7004	36													NC_002745	2814816	+	Staphylococcus aureus subsp. aureus N315	
12	CR	ND	7005	9674	2670	-1	+	gyrA	SA0006	-	-	L 						NC_002745	2814816	+	Staphylococcus aureus subsp. aureus N315	
13	ICR	TT	9675	9761	87													NC_002745	2814816	+	Staphylococcus aureus subsp. aureus N315	
14	CR	CDS	9762	10592	831	-1	-	SA0007	SA0007	-	-	X						NC_002745	2814816	+	Staphylococcus aureus subsp. aureus N315	
15	ICR	PP	10593	10899	307													NC_002745	2814816	+	Staphylococcus aureus subsp. aureus N315	
16	CR	CDS	10900	12414	1515	-1	+	hutH	SA0008	-	-	X						NC_002745	2814816	+	Staphylococcus aureus subsp. aureus N315	
17	ICR	TP	12415	12792	378													NC_002745	2814816	+	Staphylococcus aureus subsp. aureus N315	
18	CR	CDS	12793	14079	1287	-1	+	serS	SA0009	-	+	J 						NC_002745	2814816	+	Staphylococcus aureus subsp. aureus N315	
19	ICR	TP	14080	14729	650													NC_002745	2814816	+	Staphylococcus aureus subsp. aureus N315	
20	CR	CDS	14730	15425	696	-1	+	SA0010	SA0010	-	+	X						NC_002745	2814816	+	Staphylococcus aureus subsp. aureus N315	
21	ICR	TP	15426	15421	-4													NC_002745	2814816	+	Staphylococcus aureus subsp. aureus N315	
22	CR	CDS	15422	15751	330	-1	+	SAS001	SAS001	-	-	X						NC_002745	2814816	+	Staphylococcus aureus subsp. aureus N315	
23	ICR	TP	15752	16092	341													NC_002745	2814816	+	Staphylococcus aureus subsp. aureus N315	
24	CR	CDS	16093	17082	990	-1	+	SA0011	SA0011	-	-	X						NC_002745	2814816	+	Staphylococcus aureus subsp. aureus N315	
25	ICR	TP	17083	17317	235													NC_002745	2814816	+	Staphylococcus aureus subsp. aureus N315	
26	CR	CDS	17318	18313	996	-1	+	SA0012	SA0012	-	-	X						NC_002745	2814816	+	Staphylococcus aureus subsp. aureus N315	
27	ICR	TP	18314	18327	14													NC_002745	2814816	+	Staphylococcus aureus subsp. aureus N315	
28	CR	CDS	18328	20295	1968	-1	+	SA0013	SA0013	-	+	X						NC_002745	2814816	+	Staphylococcus aureus subsp. aureus N315	
29	ICR	TP	20296	20291	-4													NC_002745	2814816	+	Staphylococcus aureus subsp. aureus N315	
30	CR	CDS	20292	20738	447	-1	+	rplI	SA0014	-	+	J 						NC_002745	2814816	+	Staphylococcus aureus subsp. aureus N315	
31	ICR	TP	20739	20769	31													NC_002745	2814816	+	Staphylococcus aureus subsp. aureus N315	
32	CR	CDS	20770	22170	1401	-1	+	dnaC	SA0015	-	-	L 						NC_002745	2814816	+	Staphylococcus aureus subsp. aureus N315	
33	ICR	TP	22171	22447	277													NC_002745	2814816	+	Staphylococcus aureus subsp. aureus N315	
34	CR	CDS	22448	23731	1284	-1	+	purA	SA0016	-	-	X						NC_002745	2814816	+	Staphylococcus aureus subsp. aureus N315	
35	ICR	TP	23732	24159	428													NC_002745	2814816	+	Staphylococcus aureus subsp. aureus N315	
36	CR	CDS	24160	24234	75	-1	+	SAtRNA01	SAtRNA01	-	+	X						NC_002745	2814816	+	Staphylococcus aureus subsp. aureus N315	
37	ICR	TP	24235	24241	7													NC_002745	2814816	+	Staphylococcus aureus subsp. aureus N315	
38	CR	CDS	24242	24314	73	-1	+	SAtRNA02	SAtRNA02	-	-	X						NC_002745	2814816	+	Staphylococcus aureus subsp. aureus N315	
39	ICR	TP	24315	24927	613													NC_002745	2814816	+	Staphylococcus aureus subsp. aureus N315	
40	CR	CDS	24928	25635	708	-1	+	vicR	SA0017	-	-	X						NC_002745	2814816	+	Staphylococcus aureus subsp. aureus N315	
41	ICR	TP	25636	25647	12													NC_002745	2814816	+	Staphylococcus aureus subsp. aureus N315	
42	CR	CDS	25648	27474	1827	-1	+	vicK	SA0018	-	-	X						NC_002745	2814816	+	Staphylococcus aureus subsp. aureus N315	
43	ICR	TP	27475	27439	-35													NC_002745	2814816	+	Staphylococcus aureus subsp. aureus N315	
44	CR	CDS	27440	28801	1362	-1	+	SA0019	SA0019	-	+	X						NC_002745	2814816	+	Staphylococcus aureus subsp. aureus N315	
45	ICR	TP	28802	28801	0													NC_002745	2814816	+	Staphylococcus aureus subsp. aureus N315	
46	CR	CDS	28802	29590	789	-1	+	SA0020	SA0020	-	+	X						NC_002745	2814816	+	Staphylococcus aureus subsp. aureus N315	
47	ICR	TP	29591	29978	388													NC_002745	2814816	+	Staphylococcus aureus subsp. aureus N315	
48	CR	CDS	29979	30779	801	-1	+	SA0021	SA0021	-	-	X						NC_002745	2814816	+	Staphylococcus aureus subsp. aureus N315	
49	ICR	TP	30780	31005	226													NC_002745	2814816	+	Staphylococcus aureus subsp. aureus N315	
50	CR	CDS	31006	33324	2319	-1	+	SA0022	SA0022	-	-	X						NC_002745	2814816	+	Staphylococcus aureus subsp. aureus N315	
51	ICR	TP	33325	33691	367													NC_002745	2814816	+	Staphylococcus aureus subsp. aureus N315	
52	CR	CDS	33692	34171	480	-1	+	orfX	SA0023	-	-	X						NC_002745	2814816	+	Staphylococcus aureus subsp. aureus N315	
53	ICR	TP	34172	34453	282													NC_002745	2814816	+	Staphylococcus aureus subsp. aureus N315	
54	CR	CDS	34454	35749	1296	-1	+	SA0024	SA0024	-	+	X						NC_002745	2814816	+	Staphylococcus aureus subsp. aureus N315	
55	ICR	TP	35750	36163	414													NC_002745	2814816	+	Staphylococcus aureus subsp. aureus N315	
56	CR	CDS	36164	36403	240	-1	+	SA0025	SA0025	-	-	X						NC_002745	2814816	+	Staphylococcus aureus subsp. aureus N315	
57	ICR	TT	36404	36434	31													NC_002745	2814816	+	Staphylococcus aureus subsp. aureus N315	
58	CR	CDS	36435	37109	675	-1	-	SA0026	SA0026	-	-	X						NC_002745	2814816	+	Staphylococcus aureus subsp. aureus N315	
59	ICR	PT	37110	37199	90													NC_002745	2814816	+	Staphylococcus aureus subsp. aureus N315	
60	CR	CDS	37200	38204	1005	-1	-	SA0027	SA0027	-	-	X						NC_002745	2814816	+	Staphylococcus aureus subsp. aureus N315	
61	ICR	PT	38205	37409	-795													NC_002745	2814816	+	Staphylococcus aureus subsp. aureus N315	
62	CR	CDS	37410	38204	795	-1	-	SA0028	SA0028	-	-	X						NC_002745	2814816	+	Staphylococcus aureus subsp. aureus N315	
