bgBrickID	bgBrickType	brickType	bgSP	bgEP	brickLen	Strand	operonID	geneName	locus_tag	pseudoGene	EG	funCat	COG_Num	KO_Num	GO_FunNum	GO_ProcNum	GO_CompNum	locus	seqLen	circular	organism	
1	ICR	PP	6537457	482	674													NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
2	CR	CDS	483	2027	1545	-1	+	dnaA	PA14_00010	-	+	L 						NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
3	ICR	TP	2028	2055	28													NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
4	CR	CDS	2056	3159	1104	-1	+	dnaN	PA14_00020	-	-	X						NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
5	ICR	TP	3160	3168	9													NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
6	CR	CDS	3169	4278	1110	-1	+	recF	PA14_00030	-	-	X						NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
7	ICR	TP	4279	4274	-4													NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
8	CR	CDS	4275	6695	2421	-1	+	gyrB	PA14_00050	-	-	X						NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
9	ICR	TT	6696	7017	322													NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
10	CR	CDS	7018	7791	774	-1	-	PA14_00060	PA14_00060	-	-	X						NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
11	ICR	PT	7792	7802	11													NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
12	CR	ND	7803	8339	537	-1	-	PA14_00070	PA14_00070	-	-	X						NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
13	ICR	PP	8340	8670	331													NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
14	CR	CDS	8671	10377	1707	-1	+	PA14_00080	PA14_00080	-	-	X						NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
15	ICR	TT	10378	10433	56													NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
16	CR	CDS	10434	12488	2055	-1	-	glyS	PA14_00090	-	-	J 						NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
17	ICR	PT	12489	12487	-1													NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
18	CR	CDS	12488	13435	948	-1	-	glyQ	PA14_00100	-	+	J 						NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
19	ICR	PP	13436	13539	104													NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
20	CR	CDS	13540	14091	552	-1	+	tag	PA14_00110	-	+	X						NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
21	ICR	TP	14092	14235	144													NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
22	CR	CDS	14236	15123	888	-1	+	PA14_00120	PA14_00120	-	-	X						NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
23	ICR	TP	15124	15207	84													NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
24	CR	CDS	15208	15474	267	-1	+	PA14_00130	PA14_00130	-	-	X						NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
25	ICR	TP	15475	15620	146													NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
26	CR	CDS	15621	16274	654	-1	+	PA14_00140	PA14_00140	-	-	X						NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
27	ICR	TT	16275	16335	61													NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
28	CR	CDS	16336	16608	273	-1	-	PA14_00150	PA14_00150	-	+	X						NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
29	ICR	PT	16609	16922	314													NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
30	CR	CDS	16923	17240	318	-1	-	PA14_00160	PA14_00160	-	+	X						NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
31	ICR	PT	17241	17388	148													NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
32	CR	CDS	17389	18762	1374	-1	-	trkA	PA14_00170	-	-	X						NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
33	ICR	PT	18763	18788	26													NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
34	CR	CDS	18789	20093	1305	-1	-	PA14_00180	PA14_00180	-	-	X						NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
35	ICR	PT	20094	20089	-4													NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
36	CR	CDS	20090	21034	945	-1	-	fmt	PA14_00190	-	+	J 						NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
37	ICR	PT	21035	21087	53													NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
38	CR	CDS	21088	21594	507	-1	-	def	PA14_00200	-	-	J 						NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
39	ICR	PP	21595	21732	138													NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
40	CR	CDS	21733	22758	1026	-1	+	PA14_00210	PA14_00210	-	-	X						NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
41	ICR	TP	22759	22892	134													NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
42	CR	CDS	22893	23981	1089	-1	+	PA14_00230	PA14_00230	-	-	X						NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
43	ICR	TP	23982	24021	40													NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
44	CR	CDS	24022	24579	558	-1	+	PA14_00240	PA14_00240	-	+	X						NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
45	ICR	TT	24580	24588	9													NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
46	CR	CDS	24589	25566	978	-1	-	qor	PA14_00250	-	+	X						NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
47	ICR	PP	25567	25756	190													NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
48	CR	CDS	25757	26674	918	-1	+	hemF	PA14_00280	-	-	H 						NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
49	ICR	TP	26675	26731	57													NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
50	CR	CDS	26732	27556	825	-1	+	aroE	PA14_00290	-	-	X						NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
51	ICR	TP	27557	27666	110													NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
52	CR	CDS	27667	28653	987	-1	+	plcB	PA14_00300	-	-	X						NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
53	ICR	TP	28654	28633	-20													NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
54	CR	CDS	28634	29920	1287	-1	+	PA14_00310	PA14_00310	-	+	X						NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
55	ICR	TP	29921	29916	-4													NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
56	CR	CDS	29917	30519	603	-1	+	PA14_00320	PA14_00320	-	-	X						NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
57	ICR	TT	30520	30522	3													NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
58	CR	CDS	30523	32076	1554	-1	-	PA14_00340	PA14_00340	-	-	X						NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
59	ICR	PT	32077	32080	4													NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
60	CR	CDS	32081	33004	924	-1	-	PA14_00360	PA14_00360	-	-	X						NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
61	ICR	PT	33005	33020	16													NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
62	CR	CDS	33021	34532	1512	-1	-	betC	PA14_00380	-	-	X						NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
63	ICR	PP	34533	34644	112													NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
64	CR	CDS	34645	35559	915	-1	+	PA14_00400	PA14_00400	-	+	X						NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
65	ICR	TP	35560	35569	10													NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
66	CR	CDS	35570	35947	378	-1	+	PA14_00410	PA14_00410	-	-	X						NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
67	ICR	TT	35948	35925	-22													NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
68	CR	CDS	35926	36291	366	-1	-	PA14_00420	PA14_00420	-	-	X						NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
69	ICR	PT	36292	36298	7													NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
70	CR	CDS	36299	36922	624	-1	-	PA14_00430	PA14_00430	-	-	X						NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
71	ICR	PT	36923	37107	185													NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
72	CR	CDS	37108	37914	807	-1	-	trpA	PA14_00440	-	-	X						NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
73	ICR	PT	37915	37910	-4													NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
74	CR	CDS	37911	39119	1209	-1	-	trpB	PA14_00450	-	-	X						NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
75	ICR	PP	39120	39222	103													NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
76	CR	CDS	39223	40110	888	-1	+	trpI	PA14_00460	-	+	X						NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
77	ICR	TP	40111	40210	100													NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
78	CR	CDS	40211	40426	216	-1	+	PA14_00470	PA14_00470	-	+	X						NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
79	ICR	TP	40427	40609	183													NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
80	CR	CDS	40610	40837	228	-1	+	PA14_00480	PA14_00480	-	-	X						NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
81	ICR	TP	40838	41132	295													NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
82	CR	CDS	41133	42821	1689	-1	+	PA14_00490	PA14_00490	-	+	X						NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
83	ICR	TP	42822	42933	112													NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
84	CR	CDS	42934	53265	10332	-1	+	PA14_00510	PA14_00510	-	-	X						NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
85	ICR	TP	53266	54576	1311													NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
86	CR	CDS	54577	54699	123	-1	+	PA14_00520	PA14_00520	-	-	X						NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
87	ICR	TP	54700	54908	209													NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
88	CR	CDS	54909	55304	396	-1	+	PA14_00530	PA14_00530	-	-	X						NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
89	ICR	TT	55305	55574	270													NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
90	CR	tRNA	55575	56984	1410	-1	-	PA14_00550	PA14_00550	-	-	X						NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
91	ICR	PP	56985	57147	163													NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
92	CR	CDS	57148	58476	1329	-1	+	exoT	PA14_00560	-	-	X						NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
93	ICR	TP	58477	59017	541													NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
94	CR	CDS	59018	59704	687	-1	+	PA14_00570	PA14_00570	-	-	X						NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
95	ICR	TP	59705	59734	30													NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
96	CR	CDS	59735	60088	354	-1	+	PA14_00580	PA14_00580	-	-	X						NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
97	ICR	TP	60089	60240	152													NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
98	CR	CDS	60241	60750	510	-1	+	PA14_00590	PA14_00590	-	-	X						NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
99	ICR	TT	60751	60764	14													NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
100	CR	CDS	60765	61148	384	-1	-	PA14_00600	PA14_00600	-	+	X						NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
101	ICR	PT	61149	61429	281													NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
102	CR	CDS	61430	63091	1662	-1	-	PA14_00620	PA14_00620	-	-	X						NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
103	ICR	PP	63092	63700	609													NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
104	CR	CDS	63701	63841	141	-1	+	PA14_00630	PA14_00630	-	-	X						NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
105	ICR	TP	63842	64664	823													NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
106	CR	CDS	64665	66497	1833	-1	+	phzH	PA14_00640	-	-	X						NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
107	ICR	TT	66498	66549	52													NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
108	CR	CDS	66550	66978	429	-1	-	PA14_00650	PA14_00650	-	-	X						NC_008463	6537648	+	Pseudomonas aeruginosa UCBPP-PA14	
