bgBrickID	bgBrickType	brickType	bgSP	bgEP	brickLen	Strand	operonID	geneName	locus_tag	pseudoGene	EG	funCat	COG_Num	KO_Num	GO_FunNum	GO_ProcNum	GO_CompNum	locus	seqLen	circular	organism	
1	ICR	TP	2160827	196	212													NC_003028	2160842	+	Streptococcus pneumoniae TIGR4	
2	CR	CDS	197	1558	1362	-1	+	dnaA	SP_0001	-	+	X						NC_003028	2160842	+	Streptococcus pneumoniae TIGR4	
3	ICR	TP	1559	1716	158													NC_003028	2160842	+	Streptococcus pneumoniae TIGR4	
4	CR	CDS	1717	2853	1137	-1	+	SP_0002	SP_0002	-	-	X						NC_003028	2160842	+	Streptococcus pneumoniae TIGR4	
5	ICR	TP	2854	2863	10													NC_003028	2160842	+	Streptococcus pneumoniae TIGR4	
6	CR	CDS	2864	3112	249	-1	+	SP_0003	SP_0003	-	-	X						NC_003028	2160842	+	Streptococcus pneumoniae TIGR4	
7	ICR	TP	3113	3195	83													NC_003028	2160842	+	Streptococcus pneumoniae TIGR4	
8	CR	CDS	3196	4311	1116	-1	+	SP_0004	SP_0004	-	-	J 						NC_003028	2160842	+	Streptococcus pneumoniae TIGR4	
9	ICR	TP	4312	4381	70													NC_003028	2160842	+	Streptococcus pneumoniae TIGR4	
10	CR	CDS	4382	4951	570	-1	+	SP_0005	SP_0005	-	-	X						NC_003028	2160842	+	Streptococcus pneumoniae TIGR4	
11	ICR	TP	4952	4951	0													NC_003028	2160842	+	Streptococcus pneumoniae TIGR4	
12	CR	ND	4952	8461	3510	-1	+	SP_0006	SP_0006	-	-	X						NC_003028	2160842	+	Streptococcus pneumoniae TIGR4	
13	ICR	TP	8462	8518	57													NC_003028	2160842	+	Streptococcus pneumoniae TIGR4	
14	CR	CDS	8519	8785	267	-1	+	SP_0007	SP_0007	-	-	X						NC_003028	2160842	+	Streptococcus pneumoniae TIGR4	
15	ICR	TP	8786	8777	-8													NC_003028	2160842	+	Streptococcus pneumoniae TIGR4	
16	CR	CDS	8778	9146	369	-1	+	SP_0008	SP_0008	-	-	X						NC_003028	2160842	+	Streptococcus pneumoniae TIGR4	
17	ICR	TP	9147	9150	4													NC_003028	2160842	+	Streptococcus pneumoniae TIGR4	
18	CR	CDS	9151	9273	123	-1	+	SP_0009	SP_0009	-	+	X						NC_003028	2160842	+	Streptococcus pneumoniae TIGR4	
19	ICR	TP	9274	9265	-8													NC_003028	2160842	+	Streptococcus pneumoniae TIGR4	
20	CR	CDS	9266	10534	1269	-1	+	SP_0010	SP_0010	-	+	X						NC_003028	2160842	+	Streptococcus pneumoniae TIGR4	
21	ICR	TP	10535	10530	-4													NC_003028	2160842	+	Streptococcus pneumoniae TIGR4	
22	CR	CDS	10531	11808	1278	-1	+	SP_0011	SP_0011	-	-	X						NC_003028	2160842	+	Streptococcus pneumoniae TIGR4	
23	ICR	TP	11809	11811	3													NC_003028	2160842	+	Streptococcus pneumoniae TIGR4	
24	CR	CDS	11812	12354	543	-1	+	SP_0012	SP_0012	-	-	X						NC_003028	2160842	+	Streptococcus pneumoniae TIGR4	
25	ICR	TP	12355	12369	15													NC_003028	2160842	+	Streptococcus pneumoniae TIGR4	
26	CR	CDS	12370	14328	1959	-1	+	SP_0013	SP_0013	-	-	X						NC_003028	2160842	+	Streptococcus pneumoniae TIGR4	
27	ICR	TP	14329	14449	121													NC_003028	2160842	+	Streptococcus pneumoniae TIGR4	
28	CR	CDS	14450	14929	480	-1	+	SP_0014	SP_0014	-	+	X						NC_003028	2160842	+	Streptococcus pneumoniae TIGR4	
29	ICR	TP	14930	15022	93													NC_003028	2160842	+	Streptococcus pneumoniae TIGR4	
30	CR	CDS	15023	15094	72	-1	+	tRNA-Glu-5	SP_2242	-	+	X						NC_003028	2160842	+	Streptococcus pneumoniae TIGR4	
31	ICR	TP	15095	15343	249													NC_003028	2160842	+	Streptococcus pneumoniae TIGR4	
32	CR	CDS	15344	16903	1560	-1	+	SP_rrnaA16S	SP_rrnaA16S	-	-	X						NC_003028	2160842	+	Streptococcus pneumoniae TIGR4	
33	ICR	TP	16904	16944	41													NC_003028	2160842	+	Streptococcus pneumoniae TIGR4	
34	CR	CDS	16945	17017	73	-1	+	tRNA-Ala-4	SP_2243	-	-	X						NC_003028	2160842	+	Streptococcus pneumoniae TIGR4	
35	ICR	TP	17018	17141	124													NC_003028	2160842	+	Streptococcus pneumoniae TIGR4	
36	CR	CDS	17142	20043	2902	-1	+	SP_rrnaA23S	SP_rrnaA23S	-	+	X						NC_003028	2160842	+	Streptococcus pneumoniae TIGR4	
37	ICR	TP	20044	20120	77													NC_003028	2160842	+	Streptococcus pneumoniae TIGR4	
38	CR	CDS	20121	20236	116	-1	+	SP_rrnaA5S	SP_rrnaA5S	-	-	X						NC_003028	2160842	+	Streptococcus pneumoniae TIGR4	
39	ICR	TP	20237	20240	4													NC_003028	2160842	+	Streptococcus pneumoniae TIGR4	
40	CR	CDS	20241	20314	74	-1	+	tRNA-Asn-2	SP_2244	-	-	X						NC_003028	2160842	+	Streptococcus pneumoniae TIGR4	
41	ICR	TP	20315	20403	89													NC_003028	2160842	+	Streptococcus pneumoniae TIGR4	
42	CR	CDS	20404	20820	417	-1	+	SP_0015	SP_0015	-	-	X						NC_003028	2160842	+	Streptococcus pneumoniae TIGR4	
43	ICR	TP	20821	20928	108													NC_003028	2160842	+	Streptococcus pneumoniae TIGR4	
44	CR	CDS	20929	21267	339	-1	+	SP_0016	SP_0016	-	+	X						NC_003028	2160842	+	Streptococcus pneumoniae TIGR4	
45	ICR	TT	21268	21301	34													NC_003028	2160842	+	Streptococcus pneumoniae TIGR4	
46	CR	CDS	21302	22048	747	-1	-	SP_0017	SP_0017	-	+	X						NC_003028	2160842	+	Streptococcus pneumoniae TIGR4	
47	ICR	PP	22049	22358	310													NC_003028	2160842	+	Streptococcus pneumoniae TIGR4	
