OrgName	seqLen	oriSP	oriEP	Ter	
NC_000908	580076	578582	579223	288864	
bgBrickID	bgBrickType	brickType	brickSP	brickEP	Strand	EG	distToOri	direction	
2	CR	CDS	686	1828	+	+	1539	+	
4	CR	CDS	1828	2760	+	-	2681	+	
6	CR	CDS	2845	4797	+	-	3698	+	
8	CR	CDS	4812	7322	+	-	5665	+	
10	CR	CDS	7294	8547	+	-	8147	+	
12	CR	ND	8551	9183	+	-	9404	+	
14	CR	CDS	9156	9920	+	-	10009	+	
16	CR	CDS	9923	11251	+	-	10776	+	
18	CR	CDS	11251	12039	+	+	12104	+	
20	CR	CDS	12068	12724	+	+	12921	+	
22	CR	CDS	12701	13564	-	-	13554	+	
24	CR	CDS	13569	14432	-	-	14422	+	
26	CR	CDS	14395	15216	-	-	15248	+	
28	CR	CDS	15294	15369	-	+	16147	+	
30	CR	CDS	15375	15451	-	+	16228	+	
32	CR	CDS	15555	17426	+	-	16408	+	
34	CR	CDS	17473	19242	+	-	18326	+	
36	CR	CDS	19252	22347	+	+	20105	+	
38	CR	CDS	22389	23558	+	-	23242	+	
40	CR	CDS	23542	24468	+	-	24395	+	
42	CR	CDS	24468	26006	+	-	25321	+	
44	CR	CDS	26036	26473	+	+	26889	+	
46	CR	CDS	26479	27345	+	+	27332	+	
48	CR	CDS	27346	28449	+	-	28199	+	
50	CR	CDS	28652	29548	+	-	29505	+	
52	CR	CDS	29552	30124	+	-	30405	+	
54	CR	CDS	30093	30548	+	+	30946	+	
56	CR	CDS	30548	31153	+	-	31401	+	
58	CR	CDS	31143	31703	-	-	31996	+	
60	CR	CDS	31705	32325	-	-	32558	+	
62	CR	CDS	32359	36714	-	-	33212	+	
64	CR	CDS	36977	38977	+	+	37830	+	
66	CR	CDS	39127	39903	+	-	39980	+	
68	CR	CDS	39872	40513	-	-	40725	+	
70	CR	CDS	40542	41786	+	-	41395	+	
72	CR	CDS	41776	43428	+	-	42629	+	
74	CR	CDS	43401	44753	+	-	44254	+	
76	CR	CDS	44750	46276	-	+	45603	+	
78	CR	CDS	46267	47421	-	+	47120	+	
80	CR	CDS	47580	49355	+	-	48433	+	
82	CR	CDS	49376	49642	+	+	50229	+	
84	CR	CDS	49840	51519	+	-	50693	+	
86	CR	CDS	51524	52381	+	-	52377	+	
88	CR	CDS	52365	53219	+	-	53218	+	
90	CR	tRNA	53204	54655	+	-	54057	+	
92	CR	CDS	54657	55604	+	-	55510	+	
94	CR	CDS	55588	56739	+	-	56441	+	
96	CR	CDS	56969	58309	-	-	57822	+	
98	CR	CDS	58362	59078	+	-	59215	+	
100	CR	CDS	59082	59753	+	+	59935	+	
102	CR	CDS	59740	61005	+	-	60593	+	
104	CR	CDS	61014	61406	+	-	61867	+	
106	CR	CDS	61406	63058	+	-	62259	+	
108	CR	CDS	63035	63985	-	-	63888	+	
110	CR	CDS	63989	64360	-	-	64842	+	
112	CR	CDS	64367	64513	-	-	65220	+	
114	CR	CDS	64527	64910	-	-	65380	+	
116	CR	CDS	64897	65730	-	-	65750	+	
118	CR	CDS	65712	66248	-	+	66565	+	
120	CR	CDS	66227	67225	-	-	67080	+	
122	CR	CDS	67206	67643	-	-	68059	+	
124	CR	CDS	67650	68543	+	+	68503	+	
126	CR	CDS	68522	70225	-	-	69375	+	
128	CR	CDS	70393	70481	-	-	71246	+	
130	CR	CDS	70530	72572	+	-	71383	+	
132	CR	CDS	72523	73434	+	-	73376	+	
134	CR	CDS	73690	77685	+	-	74543	+	
136	CR	CDS	77685	79085	+	+	78538	+	
138	CR	CDS	79089	81035	+	+	79942	+	
140	CR	CDS	81046	82596	+	-	81899	+	
142	CR	CDS	82620	84044	+	-	83473	+	
144	CR	CDS	88228	90954	+	-	89081	+	
146	CR	CDS	91065	91919	+	-	91918	+	
148	CR	CDS	91924	94548	+	-	92777	+	
150	CR	CDS	94535	96955	+	-	95388	+	
152	CR	CDS	96933	98903	+	-	97786	+	
154	CR	CDS	98906	99319	+	-	99759	+	
156	CR	CDS	99383	102457	+	-	100236	+	
158	CR	CDS	102454	102870	-	+	103307	+	
160	CR	CDS	103104	104327	+	-	103957	+	
162	CR	CDS	104320	105450	+	-	105173	+	
164	CR	CDS	105452	106660	+	-	106305	+	
166	CR	CDS	106660	109206	+	-	107513	+	
168	CR	CDS	109262	109675	+	-	110115	+	
170	CR	CDS	109675	110355	+	-	110528	+	
172	CR	CDS	110355	110924	+	+	111208	+	
174	CR	CDS	110917	111789	+	+	111770	+	
176	CR	tRNA	111790	112725	+	-	112643	+	
178	CR	tRNA	112718	113866	+	-	113571	+	
180	CR	tRNA	113895	114314	+	-	114748	+	
182	CR	tRNA	114331	114798	+	-	115184	+	
184	CR	CDS	114808	116874	+	+	115661	+	
186	CR	CDS	116926	117552	+	-	117779	+	
188	CR	CDS	117553	118035	+	+	118406	+	
190	CR	CDS	118025	118342	+	-	118878	+	
192	CR	CDS	118345	118797	+	-	119198	+	
194	CR	CDS	118781	120187	+	-	119634	+	
196	CR	CDS	120191	121387	+	-	121044	+	
198	CR	CDS	121571	123523	+	-	122424	+	
200	CR	ND	123580	124317	+	-	124433	+	
202	CR	CDS	124417	125850	+	-	125270	+	
204	CR	CDS	125853	127286	+	-	126706	+	
206	CR	CDS	127279	128712	+	-	128132	+	
208	CR	CDS	128687	129355	+	+	129540	+	
210	CR	CDS	129348	130295	+	+	130201	+	
212	CR	ND	130285	131127	+	-	131138	+	
214	CR	CDS	131149	131382	+	-	132002	+	
216	CR	CDS	131385	133562	+	-	132238	+	
218	CR	CDS	133570	134172	+	-	134423	+	
220	CR	CDS	134147	134728	-	-	135000	+	
222	CR	CDS	134769	135338	+	-	135622	+	
224	CR	CDS	135338	136120	+	-	136191	+	
226	CR	CDS	136105	137268	+	-	136958	+	
228	CR	CDS	137255	138091	+	-	138108	+	
230	CR	CDS	138112	139407	+	-	138965	+	
232	CR	CDS	139397	140026	+	-	140250	+	
234	CR	CDS	140040	141410	+	-	140893	+	
236	CR	CDS	141346	142056	+	-	142199	+	
238	CR	rRNA	142081	142554	+	-	142934	+	
240	CR	rRNA	142563	143318	+	-	143416	+	
242	CR	tRNA	143311	143955	+	-	144164	+	
244	CR	rRNA	143936	144958	+	-	144789	+	
246	CR	tRNA	144973	146667	+	-	145826	+	
248	CR	tRNA	146674	148236	+	-	147527	+	
250	CR	tRNA	148239	149159	+	-	149092	+	
252	CR	ND	149199	151328	+	-	150052	+	
254	CR	tRNA	151306	152721	+	-	152159	+	
256	CR	CDS	152768	153076	+	+	153621	+	
258	CR	CDS	153082	153939	+	-	153935	+	
260	CR	CDS	153920	154963	-	-	154773	+	
262	CR	CDS	154999	155436	+	-	155852	+	
264	CR	CDS	155444	156223	+	-	156297	+	
266	CR	CDS	156223	156576	+	+	157076	+	
268	CR	CDS	156566	158020	+	+	157419	+	
270	CR	tRNA	158023	158309	+	-	158876	+	
272	CR	tRNA	158581	159006	-	-	159434	+	
274	CR	tRNA	158984	159778	-	-	159837	+	
276	CR	CDS	159798	160100	+	+	160651	+	
278	CR	CDS	160072	160914	-	-	160925	+	
280	CR	CDS	160963	162435	+	+	161816	+	
282	CR	CDS	162377	163591	+	+	163230	+	
