bgBrickID	bgBrickType	brickType	bgSP	bgEP	brickLen	Strand	operonID	geneName	locus_tag	pseudoGene	EG	funCat	COG_Num	KO_Num	GO_FunNum	GO_ProcNum	GO_CompNum	locus	seqLen	circular	organism	
1	ICR	TP	4857409	189	213													NC_003197	4857432	+	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	
2	CR	CDS	190	255	66	-1	+	thrL	STM0001	-	+	X						NC_003197	4857432	+	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	
3	ICR	TP	256	336	81													NC_003197	4857432	+	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	
4	CR	CDS	337	2799	2463	-1	+	thrA	STM0002	-	-	X						NC_003197	4857432	+	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	
5	ICR	TP	2800	2800	1													NC_003197	4857432	+	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	
6	CR	CDS	2801	3730	930	-1	+	thrB	STM0003	-	-	X						NC_003197	4857432	+	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	
7	ICR	TP	3731	3733	3													NC_003197	4857432	+	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	
8	CR	CDS	3734	5020	1287	-1	+	thrC	STM0004	-	-	X						NC_003197	4857432	+	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	
9	ICR	TT	5021	5113	93													NC_003197	4857432	+	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	
10	CR	CDS	5114	5887	774	-1	-	yaaA	STM0005	-	-	X						NC_003197	4857432	+	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	
11	ICR	PT	5888	5965	78													NC_003197	4857432	+	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	
12	CR	ND	5966	7396	1431	-1	-	yaaJ	STM0006	-	-	X						NC_003197	4857432	+	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	
13	ICR	PP	7397	7664	268													NC_003197	4857432	+	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	
14	CR	CDS	7665	8618	954	-1	+	talB	STM0007	-	-	X						NC_003197	4857432	+	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	
15	ICR	TP	8619	8728	110													NC_003197	4857432	+	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	
16	CR	CDS	8729	9319	591	-1	+	mogA	STM0008	-	-	X						NC_003197	4857432	+	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	
17	ICR	TT	9320	9375	56													NC_003197	4857432	+	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	
18	CR	CDS	9376	9942	567	-1	-	yaaH	STM0009	-	+	X						NC_003197	4857432	+	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	
19	ICR	PT	9943	10091	149													NC_003197	4857432	+	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	
20	CR	CDS	10092	10805	714	-1	-	htgA	STM0010	-	+	X						NC_003197	4857432	+	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	
21	ICR	PT	10806	10840	35													NC_003197	4857432	+	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	
22	CR	CDS	10841	11245	405	-1	-	yaaI	STM0011	-	-	X						NC_003197	4857432	+	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	
23	ICR	PP	11246	11592	347													NC_003197	4857432	+	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	
24	CR	CDS	11593	13509	1917	-1	+	dnaK	STM0012	-	-	O 						NC_003197	4857432	+	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	
25	ICR	TP	13510	13594	85													NC_003197	4857432	+	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	
26	CR	CDS	13595	14734	1140	-1	+	dnaJ	STM0013	-	-	X						NC_003197	4857432	+	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	
27	ICR	TP	14735	15013	279													NC_003197	4857432	+	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	
28	CR	CDS	15014	15961	948	-1	+	STM0014	STM0014	-	+	X						NC_003197	4857432	+	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	
29	ICR	TP	15962	16087	126													NC_003197	4857432	+	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	
30	CR	CDS	16088	16432	345	-1	+	STM0015	STM0015	-	+	X						NC_003197	4857432	+	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	
31	ICR	TT	16433	16492	60													NC_003197	4857432	+	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	
32	CR	CDS	16493	17026	534	-1	-	STM0016	STM0016	-	-	X						NC_003197	4857432	+	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	
33	ICR	PT	17027	17042	16													NC_003197	4857432	+	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	
34	CR	CDS	17043	17486	444	-1	-	STM0017	STM0017	-	-	X						NC_003197	4857432	+	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	
35	ICR	PP	17487	17866	380													NC_003197	4857432	+	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	
36	CR	CDS	17867	19966	2100	-1	+	STM0018	STM0018	-	+	X						NC_003197	4857432	+	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	
37	ICR	TP	19967	20057	91													NC_003197	4857432	+	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	
38	CR	CDS	20058	23054	2997	-1	+	STM0019	STM0019	-	-	X						NC_003197	4857432	+	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	
39	ICR	TP	23055	23334	280													NC_003197	4857432	+	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	
40	CR	CDS	23335	24039	705	-1	+	STM0020	STM0020	-	-	X						NC_003197	4857432	+	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	
