bgBrickID	bgBrickType	brickType	bgSP	bgEP	brickLen	Strand	operonID	geneName	locus_tag	pseudoGene	EG	funCat	COG_Num	KO_Num	GO_FunNum	GO_ProcNum	GO_CompNum	locus	seqLen	circular	organism	
1	ICR	PP	3598158	200	664													NC_005966	3598621	+	Acinetobacter sp. ADP1	
2	CR	CDS	201	1598	1398	-1	+	dnaA	ACIAD0001	-	+	X						NC_005966	3598621	+	Acinetobacter sp. ADP1	
3	ICR	TP	1599	1833	235													NC_005966	3598621	+	Acinetobacter sp. ADP1	
4	CR	CDS	1834	2982	1149	-1	+	dnaN	ACIAD0002	-	-	L 						NC_005966	3598621	+	Acinetobacter sp. ADP1	
5	ICR	TP	2983	2997	15													NC_005966	3598621	+	Acinetobacter sp. ADP1	
6	CR	CDS	2998	4074	1077	-1	+	recF	ACIAD0003	-	-	X						NC_005966	3598621	+	Acinetobacter sp. ADP1	
7	ICR	TP	4075	4126	52													NC_005966	3598621	+	Acinetobacter sp. ADP1	
8	CR	CDS	4127	6595	2469	-1	+	gyrB	ACIAD0004	-	-	L 						NC_005966	3598621	+	Acinetobacter sp. ADP1	
9	ICR	TT	6596	6711	116													NC_005966	3598621	+	Acinetobacter sp. ADP1	
10	CR	CDS	6712	6948	237	-1	-	ACIAD0005	ACIAD0005	-	-	X						NC_005966	3598621	+	Acinetobacter sp. ADP1	
11	ICR	PP	6949	6968	20													NC_005966	3598621	+	Acinetobacter sp. ADP1	
12	CR	ND	6969	7139	171	-1	+	ACIAD0006	ACIAD0006	-	-	X						NC_005966	3598621	+	Acinetobacter sp. ADP1	
13	ICR	TT	7140	7335	196													NC_005966	3598621	+	Acinetobacter sp. ADP1	
14	CR	CDS	7336	9270	1935	-1	-	ACIAD0007	ACIAD0007	-	-	X						NC_005966	3598621	+	Acinetobacter sp. ADP1	
15	ICR	PP	9271	9650	380													NC_005966	3598621	+	Acinetobacter sp. ADP1	
16	CR	CDS	9651	10661	1011	-1	+	ACIAD0008	ACIAD0008	-	-	X						NC_005966	3598621	+	Acinetobacter sp. ADP1	
17	ICR	TP	10662	10909	248													NC_005966	3598621	+	Acinetobacter sp. ADP1	
18	CR	CDS	10910	11920	1011	-1	+	adeT	ACIAD0009	-	+	X						NC_005966	3598621	+	Acinetobacter sp. ADP1	
19	ICR	TP	11921	12038	118													NC_005966	3598621	+	Acinetobacter sp. ADP1	
20	CR	CDS	12039	12374	336	-1	+	ACIAD0010	ACIAD0010	-	+	X						NC_005966	3598621	+	Acinetobacter sp. ADP1	
21	ICR	TT	12375	12435	61													NC_005966	3598621	+	Acinetobacter sp. ADP1	
22	CR	CDS	12436	13566	1131	-1	-	anmK	ACIAD0011	-	-	X						NC_005966	3598621	+	Acinetobacter sp. ADP1	
23	ICR	PP	13567	13645	79													NC_005966	3598621	+	Acinetobacter sp. ADP1	
24	CR	CDS	13646	14860	1215	-1	+	tyrS	ACIAD0013	-	-	J 						NC_005966	3598621	+	Acinetobacter sp. ADP1	
25	ICR	TP	14861	15430	570													NC_005966	3598621	+	Acinetobacter sp. ADP1	
26	CR	CDS	15431	15685	255	-1	+	ACIAD0014	ACIAD0014	-	-	X						NC_005966	3598621	+	Acinetobacter sp. ADP1	
27	ICR	TP	15686	15926	241													NC_005966	3598621	+	Acinetobacter sp. ADP1	
28	CR	CDS	15927	17882	1956	-1	+	ACIAD0015	ACIAD0015	-	+	X						NC_005966	3598621	+	Acinetobacter sp. ADP1	
29	ICR	TP	17883	18415	533													NC_005966	3598621	+	Acinetobacter sp. ADP1	
30	CR	CDS	18416	19945	1530	-1	+	ACIADrRNA16S_1	ACIADrRNA16S_1	-	+	X						NC_005966	3598621	+	Acinetobacter sp. ADP1	
31	ICR	TP	19946	20006	61													NC_005966	3598621	+	Acinetobacter sp. ADP1	
32	CR	CDS	20007	20083	77	-1	+	ACIADtRNAIle_1	ACIADtRNAIle_1	-	-	X						NC_005966	3598621	+	Acinetobacter sp. ADP1	
33	ICR	TP	20084	20119	36													NC_005966	3598621	+	Acinetobacter sp. ADP1	
34	CR	CDS	20120	20195	76	-1	+	ACIADtRNAAla_2	ACIADtRNAAla_2	-	-	X						NC_005966	3598621	+	Acinetobacter sp. ADP1	
35	ICR	TP	20196	20538	343													NC_005966	3598621	+	Acinetobacter sp. ADP1	
36	CR	CDS	20539	23437	2899	-1	+	ACIADrRNA23S_2	ACIADrRNA23S_2	-	+	X						NC_005966	3598621	+	Acinetobacter sp. ADP1	
37	ICR	TP	23438	23622	185													NC_005966	3598621	+	Acinetobacter sp. ADP1	
38	CR	CDS	23623	23738	116	-1	+	ACIADrRNA5S_3	ACIADrRNA5S_3	-	-	X						NC_005966	3598621	+	Acinetobacter sp. ADP1	
39	ICR	TP	23739	23915	177													NC_005966	3598621	+	Acinetobacter sp. ADP1	
40	CR	CDS	23916	24530	615	-1	+	ACIAD0017	ACIAD0017	-	-	X						NC_005966	3598621	+	Acinetobacter sp. ADP1	
41	ICR	TP	24531	24583	53													NC_005966	3598621	+	Acinetobacter sp. ADP1	
42	CR	CDS	24584	24895	312	-1	+	ACIAD0018	ACIAD0018	-	-	X						NC_005966	3598621	+	Acinetobacter sp. ADP1	
43	ICR	TT	24896	25115	220													NC_005966	3598621	+	Acinetobacter sp. ADP1	
44	CR	CDS	25116	25658	543	-1	-	ACIAD0019	ACIAD0019	-	+	X						NC_005966	3598621	+	Acinetobacter sp. ADP1	
45	ICR	PT	25659	25756	98													NC_005966	3598621	+	Acinetobacter sp. ADP1	
46	CR	CDS	25757	26239	483	-1	-	fkpB	ACIAD0020	-	+	X						NC_005966	3598621	+	Acinetobacter sp. ADP1	
47	ICR	PT	26240	26231	-8													NC_005966	3598621	+	Acinetobacter sp. ADP1	
