OrgName	seqLen	oriSP	oriEP	Ter	
NC_002745	2814816	2814603	516	1407559	
bgBrickID	bgBrickType	brickType	brickSP	brickEP	Strand	EG	distToOri	direction	
2	CR	CDS	517	1878	+	+	1	+	
4	CR	CDS	2156	3289	+	-	1640	+	
6	CR	CDS	3670	3915	+	-	3154	+	
8	CR	CDS	3912	5024	+	-	3396	+	
10	CR	CDS	5034	6968	+	-	4518	+	
12	CR	ND	7005	9674	+	-	6489	+	
14	CR	CDS	9762	10592	-	-	9246	+	
16	CR	CDS	10900	12414	+	-	10384	+	
18	CR	CDS	12793	14079	+	+	12277	+	
20	CR	CDS	14730	15425	+	+	14214	+	
22	CR	CDS	15422	15751	+	-	14906	+	
24	CR	CDS	16093	17082	+	-	15577	+	
26	CR	CDS	17318	18313	+	-	16802	+	
28	CR	CDS	18328	20295	+	+	17812	+	
30	CR	CDS	20292	20738	+	+	19776	+	
32	CR	CDS	20770	22170	+	-	20254	+	
34	CR	CDS	22448	23731	+	-	21932	+	
36	CR	CDS	24160	24234	+	+	23644	+	
38	CR	CDS	24242	24314	+	-	23726	+	
40	CR	CDS	24928	25635	+	-	24412	+	
42	CR	CDS	25648	27474	+	-	25132	+	
44	CR	CDS	27440	28801	+	+	26924	+	
46	CR	CDS	28802	29590	+	+	28286	+	
48	CR	CDS	29979	30779	+	-	29463	+	
50	CR	CDS	31006	33324	+	-	30490	+	
52	CR	CDS	33692	34171	+	-	33176	+	
54	CR	CDS	34454	35749	+	+	33938	+	
56	CR	CDS	36164	36403	+	-	35648	+	
58	CR	CDS	36435	37109	-	-	35919	+	
60	CR	CDS	37200	38204	-	-	36684	+	
62	CR	CDS	37410	38204	-	-	36894	+	
64	CR	CDS	38428	39690	-	+	37912	+	
66	CR	CDS	39799	39939	+	-	39283	+	
68	CR	CDS	39987	40178	+	-	39471	+	
70	CR	CDS	40197	40601	-	-	39681	+	
72	CR	CDS	40818	41588	-	-	40302	+	
74	CR	CDS	41781	42455	-	-	41265	+	
76	CR	CDS	42539	42880	+	+	42023	+	
78	CR	CDS	43717	44460	+	+	43201	+	
80	CR	CDS	44557	44985	+	-	44041	+	
82	CR	CDS	45031	47037	-	+	44515	+	
84	CR	CDS	47137	48894	+	-	46621	+	
86	CR	CDS	48894	49265	+	-	48378	+	
88	CR	CDS	49752	50882	+	-	49236	+	
90	CR	tRNA	50996	51388	-	-	50480	+	
92	CR	CDS	51392	52330	-	-	50876	+	
94	CR	CDS	52363	53427	-	-	51847	+	
96	CR	CDS	53563	53823	+	-	53047	+	
98	CR	CDS	53823	54467	+	-	53307	+	
100	CR	CDS	54806	55474	-	+	54290	+	
102	CR	CDS	56002	56733	+	-	55486	+	
104	CR	CDS	56859	57641	-	-	56343	+	
106	CR	CDS	57792	58169	-	-	57276	+	
108	CR	CDS	58176	60068	-	-	57660	+	
110	CR	CDS	60065	61150	-	-	59549	+	
112	CR	CDS	61269	61586	-	-	60753	+	
114	CR	CDS	61607	62125	-	-	61091	+	
116	CR	CDS	62131	62442	-	-	61615	+	
118	CR	CDS	62529	62879	-	+	62013	+	
120	CR	CDS	63397	65025	-	-	62881	+	
122	CR	CDS	65047	66396	-	-	64531	+	
124	CR	CDS	66630	68423	-	+	66114	+	
126	CR	CDS	68423	68719	-	-	67907	+	
128	CR	CDS	68912	69958	-	-	68396	+	
130	CR	CDS	70209	70586	-	-	69693	+	
132	CR	CDS	70698	71051	-	-	70182	+	
134	CR	CDS	71036	71350	-	-	70520	+	
136	CR	CDS	71861	72445	-	+	71345	+	
138	CR	CDS	73509	74204	-	+	72993	+	
140	CR	CDS	74179	76812	-	-	73663	+	
142	CR	CDS	77116	78792	+	-	76600	+	
144	CR	CDS	78811	80832	+	-	78295	+	
146	CR	CDS	80880	81251	+	-	80364	+	
148	CR	CDS	81950	82819	-	-	81434	+	
150	CR	CDS	82829	83731	-	-	82313	+	
152	CR	CDS	83767	83892	+	-	83251	+	
154	CR	CDS	83925	84404	-	-	83409	+	
156	CR	CDS	84467	84799	-	-	83951	+	
158	CR	CDS	84844	85470	-	+	84328	+	
160	CR	CDS	85585	87093	+	-	85069	+	
162	CR	CDS	87692	89425	+	-	87176	+	
164	CR	CDS	89609	89947	-	-	89093	+	
166	CR	CDS	90369	91124	-	-	89853	+	
168	CR	CDS	91124	91384	-	-	90608	+	
170	CR	CDS	91521	92585	+	-	91005	+	
172	CR	CDS	92616	93950	+	+	92100	+	
174	CR	CDS	93969	95162	+	+	93453	+	
176	CR	tRNA	95829	96815	-	-	95313	+	
178	CR	tRNA	97124	97327	+	-	96608	+	
180	CR	tRNA	97376	97672	+	-	96860	+	
182	CR	tRNA	97871	98482	+	-	97355	+	
184	CR	CDS	98749	101901	+	+	98233	+	
186	CR	CDS	101958	102440	+	-	101442	+	
188	CR	CDS	102646	103632	+	+	102130	+	
190	CR	CDS	103853	104623	+	-	103337	+	
192	CR	CDS	104675	105445	+	-	104159	+	
194	CR	CDS	105513	106280	+	-	104997	+	
196	CR	CDS	106345	107115	+	-	105829	+	
198	CR	CDS	107182	107949	+	-	106666	+	
