OrgName	seqLen	oriSP	oriEP	Ter	
NC_003197	4857432	4083788	4084165	1655260	
bgBrickID	bgBrickType	brickType	brickSP	brickEP	Strand	EG	distToOri	direction	
2	CR	CDS	190	255	+	+	773457	+	
4	CR	CDS	337	2799	+	-	773604	+	
6	CR	CDS	2801	3730	+	-	776068	+	
8	CR	CDS	3734	5020	+	-	777001	+	
10	CR	CDS	5114	5887	-	-	778381	+	
12	CR	ND	5966	7396	-	-	779233	+	
14	CR	CDS	7665	8618	+	-	780932	+	
16	CR	CDS	8729	9319	+	-	781996	+	
18	CR	CDS	9376	9942	-	+	782643	+	
20	CR	CDS	10092	10805	-	+	783359	+	
22	CR	CDS	10841	11245	-	-	784108	+	
24	CR	CDS	11593	13509	+	-	784860	+	
26	CR	CDS	13595	14734	+	-	786862	+	
28	CR	CDS	15014	15961	+	+	788281	+	
30	CR	CDS	16088	16432	+	+	789355	+	
32	CR	CDS	16493	17026	-	-	789760	+	
34	CR	CDS	17043	17486	-	-	790310	+	
36	CR	CDS	17867	19966	+	+	791134	+	
38	CR	CDS	20058	23054	+	-	793325	+	
40	CR	CDS	23335	24039	+	-	796602	+	
42	CR	CDS	24469	25011	+	-	797736	+	
44	CR	CDS	25112	25798	+	+	798379	+	
46	CR	CDS	25803	28424	+	+	799070	+	
48	CR	CDS	28425	29432	+	-	801692	+	
50	CR	CDS	29433	29978	+	-	802700	+	
52	CR	CDS	29994	30512	+	-	803261	+	
54	CR	CDS	30478	31209	+	+	803745	+	
56	CR	CDS	31274	32119	+	-	804541	+	
58	CR	CDS	32116	32445	+	-	805383	+	
60	CR	CDS	32545	32994	-	-	805812	+	
62	CR	CDS	33364	34368	+	-	806631	+	
64	CR	CDS	34376	34816	-	+	807643	+	
66	CR	CDS	35339	37057	+	-	808606	+	
68	CR	CDS	37103	38674	-	-	810370	+	
70	CR	CDS	38773	39534	-	-	812040	+	
72	CR	CDS	40131	41624	+	-	813398	+	
74	CR	CDS	41723	42913	+	-	814990	+	
76	CR	CDS	42932	44185	+	+	816199	+	
78	CR	CDS	44312	46027	+	+	817579	+	
80	CR	CDS	46190	47356	+	-	819457	+	
82	CR	CDS	47418	48317	+	+	820685	+	
84	CR	CDS	48372	50411	-	-	821639	+	
86	CR	CDS	50451	51824	-	-	823718	+	
88	CR	CDS	52280	52543	-	-	825547	+	
90	CR	tRNA	52649	52864	+	-	825916	+	
92	CR	CDS	52872	53810	+	-	826139	+	
94	CR	CDS	53855	56689	+	-	827122	+	
96	CR	CDS	56689	57189	+	-	829956	+	
98	CR	CDS	57344	57793	+	-	830611	+	
100	CR	CDS	57796	58746	+	+	831063	+	
102	CR	CDS	58946	60148	+	-	832213	+	
104	CR	CDS	60164	61084	+	-	833431	+	
106	CR	CDS	61106	61792	-	-	834373	+	
108	CR	CDS	61794	63413	-	-	835061	+	
110	CR	CDS	63548	64849	-	-	836815	+	
112	CR	CDS	64862	66637	-	-	838129	+	
114	CR	CDS	66654	66893	-	-	839921	+	
116	CR	CDS	67052	68392	-	-	840319	+	
118	CR	CDS	68637	69680	+	+	841904	+	
120	CR	CDS	69710	70003	+	-	842977	+	
122	CR	CDS	70000	70869	+	-	843267	+	
124	CR	CDS	70880	72400	+	+	844147	+	
126	CR	CDS	72400	72951	+	-	845667	+	
128	CR	CDS	72929	73837	+	-	846196	+	
130	CR	CDS	74017	74838	+	-	847284	+	
132	CR	CDS	75880	77028	+	-	849147	+	
134	CR	CDS	77047	80274	+	-	850314	+	
136	CR	CDS	80548	80943	+	+	853815	+	
138	CR	CDS	81020	81616	-	+	854287	+	
140	CR	CDS	81725	82510	-	-	854992	+	
142	CR	CDS	82564	84117	-	-	855831	+	
144	CR	CDS	84180	85397	-	-	857447	+	
146	CR	CDS	85509	86651	-	-	858776	+	
148	CR	CDS	86686	88203	-	-	859953	+	
150	CR	CDS	88684	89454	+	-	861951	+	
152	CR	CDS	89470	90411	+	-	862737	+	
154	CR	CDS	90461	91747	+	-	863728	+	
156	CR	CDS	91744	92031	+	-	865011	+	
158	CR	CDS	92178	93518	+	+	865445	+	
160	CR	CDS	93607	93837	+	-	866874	+	
162	CR	CDS	94131	94547	+	-	867398	+	
164	CR	CDS	94771	95061	-	-	868038	+	
166	CR	CDS	95959	97848	+	-	869226	+	
168	CR	CDS	98255	98785	+	-	871522	+	
170	CR	CDS	98778	100640	+	-	872045	+	
172	CR	CDS	100839	101318	+	+	874106	+	
174	CR	CDS	101424	102272	-	+	874691	+	
176	CR	tRNA	102283	102660	-	-	875550	+	
178	CR	tRNA	102663	103484	-	-	875930	+	
180	CR	tRNA	103481	104470	-	-	876748	+	
182	CR	tRNA	104470	105756	-	-	877737	+	
184	CR	CDS	105810	108170	-	+	879077	+	
186	CR	CDS	108424	109236	+	-	881691	+	
188	CR	CDS	109331	109990	-	+	882598	+	
190	CR	CDS	110002	112908	-	-	883269	+	
192	CR	CDS	113082	115433	-	-	886349	+	
194	CR	CDS	115477	116097	-	-	888744	+	
196	CR	CDS	116816	117235	+	-	890083	+	
198	CR	CDS	117241	117936	-	-	890508	+	
200	CR	ND	118077	119579	-	-	891344	+	
202	CR	CDS	119590	121299	-	-	892857	+	
204	CR	CDS	121640	122485	+	-	894907	+	
206	CR	CDS	122604	123371	+	-	895871	+	
208	CR	CDS	123410	124117	-	+	896677	+	
210	CR	CDS	124101	125711	-	+	897368	+	
212	CR	ND	125687	126670	-	-	898954	+	
214	CR	CDS	126848	128506	-	-	900115	+	
216	CR	CDS	129057	129662	-	-	902324	+	
218	CR	CDS	129673	131073	-	-	902940	+	
220	CR	CDS	131076	132167	-	-	904343	+	
222	CR	CDS	132167	133738	-	-	905434	+	
224	CR	CDS	133826	133912	-	-	907093	+	
