OrgName	seqLen	oriSP	oriEP	Ter	
NC_003098	2038615	1363	1520	1020748	
bgBrickID	bgBrickType	brickType	brickSP	brickEP	Strand	EG	distToOri	direction	
2	CR	CDS	1	1362	+	+	1	-	
4	CR	CDS	1521	2657	+	-	1294	+	
6	CR	CDS	2722	2916	+	-	1553	+	
8	CR	CDS	3000	4115	+	-	2752	+	
10	CR	CDS	4186	4755	+	-	3392	+	
12	CR	ND	4756	8265	+	-	6902	+	
14	CR	CDS	8323	8589	+	-	7226	+	
16	CR	CDS	8582	8950	+	-	7587	+	
18	CR	CDS	9001	10338	+	+	8975	+	
20	CR	CDS	10335	11612	+	+	10249	+	
22	CR	CDS	11616	12158	+	-	10795	+	
24	CR	CDS	12174	14132	+	-	12769	+	
26	CR	CDS	14254	14733	+	-	13370	+	
28	CR	CDS	14827	14898	+	+	13535	+	
30	CR	CDS	15161	16674	+	+	15311	+	
32	CR	CDS	16748	16820	+	-	15457	+	
34	CR	CDS	16945	19846	+	-	18483	+	
36	CR	CDS	19924	20038	+	+	18675	+	
38	CR	CDS	20044	20117	+	-	18754	+	
40	CR	CDS	20207	20554	+	-	19191	+	
42	CR	CDS	20593	20751	-	-	19388	+	
44	CR	CDS	20733	21071	+	+	19708	+	
46	CR	CDS	21106	21312	-	+	19949	+	
48	CR	CDS	21455	21604	-	-	20241	+	
50	CR	CDS	21645	21851	-	-	20488	+	
52	CR	CDS	22162	22404	+	-	21041	+	
54	CR	CDS	22635	23921	+	+	22558	+	
56	CR	CDS	24122	24589	+	-	23226	+	
58	CR	CDS	24631	24815	+	-	23452	+	
60	CR	CDS	24776	25219	+	-	23856	+	
62	CR	CDS	25158	25736	+	-	24373	+	
64	CR	CDS	25849	27111	+	+	25748	+	
66	CR	CDS	27115	27681	+	-	26318	+	
68	CR	CDS	27706	28365	+	-	27002	+	
70	CR	CDS	28583	29602	+	-	28239	+	
72	CR	CDS	29624	30016	-	-	28653	+	
74	CR	CDS	30143	30481	-	-	29118	+	
76	CR	CDS	30700	31053	-	+	29690	+	
78	CR	CDS	31306	33939	+	+	32576	+	
80	CR	CDS	34024	34461	+	-	33098	+	
82	CR	CDS	34652	35674	-	+	34311	+	
84	CR	CDS	35811	36980	+	-	35617	+	
86	CR	CDS	36977	37747	+	-	36384	+	
88	CR	CDS	37744	38736	+	-	37373	+	
90	CR	tRNA	38742	38975	+	-	37612	+	
92	CR	CDS	39018	39311	+	-	37948	+	
94	CR	CDS	39514	39744	+	-	38381	+	
96	CR	CDS	40224	40991	-	-	39628	+	
98	CR	CDS	40982	41500	-	-	40137	+	
100	CR	CDS	41902	44055	+	+	42692	+	
102	CR	CDS	44068	45417	+	-	44054	+	
104	CR	CDS	45545	46294	+	-	44931	+	
106	CR	CDS	46493	50221	+	-	48858	+	
108	CR	CDS	50314	51756	+	-	50393	+	
110	CR	CDS	51793	52815	+	-	51452	+	
112	CR	CDS	52812	53357	+	-	51994	+	
114	CR	CDS	53441	53950	+	-	52587	+	
116	CR	CDS	53954	55522	+	-	54159	+	
118	CR	CDS	55644	56906	+	+	55543	+	
120	CR	CDS	57276	57797	+	-	56434	+	
122	CR	CDS	57724	58875	+	-	57512	+	
124	CR	CDS	58885	59112	+	+	57749	+	
126	CR	CDS	59175	60473	+	-	59110	+	
128	CR	CDS	60528	64466	-	-	63103	+	
130	CR	CDS	64781	65539	-	-	64176	+	
132	CR	CDS	65845	67632	+	-	66269	+	
134	CR	CDS	67629	68105	+	-	66742	+	
136	CR	CDS	68133	69038	+	+	67675	+	
138	CR	CDS	69010	69840	+	+	68477	+	
140	CR	CDS	69847	70251	+	-	68888	+	
142	CR	CDS	70549	71715	+	-	70352	+	
144	CR	CDS	71831	72868	+	-	71505	+	
146	CR	CDS	73075	73929	+	-	72566	+	
148	CR	CDS	74079	74336	+	-	72973	+	
150	CR	CDS	75311	76075	+	-	74712	+	
152	CR	CDS	76547	76705	+	-	75342	+	
154	CR	CDS	76686	78065	+	-	76702	+	
156	CR	CDS	78058	78744	+	-	77381	+	
158	CR	CDS	79054	79593	+	+	78230	+	
160	CR	CDS	79471	80040	-	-	78677	+	
162	CR	CDS	79660	80070	+	-	78707	+	
164	CR	CDS	80186	83671	+	-	82308	+	
166	CR	CDS	83838	84536	+	-	83173	+	
168	CR	CDS	84533	85585	+	-	84222	+	
170	CR	CDS	85780	86391	+	-	85028	+	
172	CR	CDS	86559	86735	+	+	85372	+	
