OrgName	seqLen	oriSP	oriEP	Ter	
NC_000913	4639675	3923657	3924034	1604008	
bgBrickID	bgBrickType	brickType	brickSP	brickEP	Strand	EG	distToOri	direction	
2	CR	CDS	190	255	+	+	715831	+	
4	CR	CDS	337	2799	+	-	715978	+	
6	CR	CDS	2801	3733	+	-	718442	+	
8	CR	CDS	3734	5020	+	-	719375	+	
10	CR	CDS	5234	5530	+	-	720875	+	
12	CR	ND	5683	6459	-	-	721324	+	
14	CR	CDS	6529	7959	-	-	722170	+	
16	CR	CDS	8238	9191	+	-	723879	+	
18	CR	CDS	9306	9893	+	+	724947	+	
20	CR	CDS	9928	10494	-	+	725569	+	
22	CR	CDS	10643	11356	-	-	726284	+	
24	CR	CDS	11382	11786	-	-	727023	+	
26	CR	CDS	12163	14079	+	-	727804	+	
28	CR	CDS	14168	15298	+	+	729809	+	
30	CR	CDS	15445	16557	+	+	731086	+	
32	CR	CDS	16751	16960	-	-	732392	+	
34	CR	CDS	16751	16903	-	-	732392	+	
36	CR	CDS	16952	17006	+	+	732593	+	
38	CR	CDS	17489	18655	+	-	733130	+	
40	CR	CDS	18715	19620	+	-	734356	+	
42	CR	CDS	19811	20314	-	-	735452	+	
44	CR	CDS	20233	20508	-	+	735874	+	
46	CR	CDS	20815	21078	-	+	736456	+	
48	CR	CDS	21181	21399	+	-	736822	+	
50	CR	CDS	21407	22348	+	-	737048	+	
52	CR	CDS	22391	25207	+	-	738032	+	
54	CR	CDS	25207	25701	+	+	740848	+	
56	CR	CDS	25826	26275	+	-	741467	+	
58	CR	CDS	26277	27227	+	-	741918	+	
60	CR	CDS	27293	28207	+	-	742934	+	
62	CR	CDS	28374	29195	+	-	744015	+	
64	CR	CDS	29651	30799	+	+	745292	+	
66	CR	CDS	30817	34038	+	-	746458	+	
68	CR	CDS	34300	34695	+	-	749941	+	
70	CR	CDS	34781	35371	-	-	750422	+	
72	CR	CDS	35377	36162	-	-	751018	+	
74	CR	CDS	36271	37824	-	-	751912	+	
76	CR	CDS	37898	39115	-	+	753539	+	
78	CR	CDS	39244	40386	-	+	754885	+	
80	CR	CDS	40417	41931	-	-	756058	+	
82	CR	CDS	42403	43173	+	+	758044	+	
84	CR	CDS	43188	44129	+	-	758829	+	
86	CR	CDS	44180	45466	+	-	759821	+	
88	CR	CDS	45463	45750	+	-	761104	+	
90	CR	tRNA	45807	47138	+	-	761448	+	
92	CR	CDS	47246	47776	+	-	762887	+	
94	CR	CDS	47769	49631	+	-	763410	+	
96	CR	CDS	49823	50302	+	-	765464	+	
98	CR	CDS	50380	51222	-	-	766021	+	
100	CR	CDS	51229	51606	-	+	766870	+	
102	CR	CDS	51609	52430	-	-	767250	+	
104	CR	CDS	52427	53416	-	-	768068	+	
106	CR	CDS	53416	54702	-	-	769057	+	
108	CR	CDS	54755	57109	-	-	770396	+	
110	CR	CDS	57364	58179	+	-	773005	+	
112	CR	CDS	58474	59269	+	-	774115	+	
114	CR	CDS	59687	60346	-	-	775328	+	
116	CR	CDS	60358	63264	-	-	775999	+	
118	CR	CDS	63429	65780	-	+	779070	+	
120	CR	CDS	65855	66550	-	-	781496	+	
122	CR	CDS	66835	68337	-	-	782476	+	
124	CR	CDS	68348	70048	-	+	783989	+	
126	CR	CDS	70387	71265	+	-	786028	+	
128	CR	CDS	71351	72115	+	-	786992	+	
130	CR	CDS	72229	72927	-	-	787870	+	
132	CR	CDS	72911	74521	-	-	788552	+	
134	CR	CDS	74497	75480	-	-	790138	+	
136	CR	CDS	75644	77299	-	+	791285	+	
138	CR	CDS	77367	77593	+	+	793008	+	
140	CR	CDS	77388	77519	+	-	793029	+	
142	CR	CDS	77621	78799	+	-	793262	+	
144	CR	CDS	78848	79453	-	-	794489	+	
146	CR	CDS	79464	80864	-	-	795105	+	
148	CR	CDS	80867	81958	-	-	796508	+	
150	CR	CDS	81958	83529	-	-	797599	+	
152	CR	CDS	83622	83708	-	-	799263	+	
154	CR	CDS	84368	85312	+	-	800009	+	
156	CR	CDS	85630	87354	+	-	801271	+	
158	CR	CDS	87357	87848	+	+	802998	+	
160	CR	CDS	88028	89032	+	-	803669	+	
162	CR	CDS	89634	90092	+	-	805275	+	
164	CR	CDS	90094	91035	+	-	805735	+	
166	CR	CDS	91032	91397	+	-	806673	+	
168	CR	CDS	91413	93179	+	-	807054	+	
170	CR	CDS	93166	94653	+	-	808807	+	
172	CR	CDS	94650	96008	+	+	810291	+	
174	CR	CDS	96002	97084	+	+	811643	+	
176	CR	tRNA	97087	98403	+	-	812728	+	
178	CR	tRNA	98403	99647	+	-	814044	+	
180	CR	tRNA	99644	100711	+	-	815285	+	
182	CR	tRNA	100765	102240	+	-	816406	+	
184	CR	CDS	102233	103153	+	+	817874	+	
186	CR	CDS	103155	103985	+	-	818796	+	
188	CR	CDS	103982	105244	+	+	819623	+	
190	CR	CDS	105305	106456	+	-	820946	+	
192	CR	CDS	106557	107474	+	-	822198	+	
194	CR	CDS	107705	108217	+	-	823346	+	
196	CR	CDS	108279	110984	+	-	823920	+	
198	CR	CDS	111044	111433	+	-	826685	+	
200	CR	ND	111649	111846	-	-	827290	+	
202	CR	CDS	111856	112599	-	-	827497	+	
204	CR	CDS	112599	113219	-	-	828240	+	
206	CR	CDS	113444	114487	+	-	829085	+	
208	CR	CDS	114522	115724	-	+	830163	+	
210	CR	CDS	115714	117099	-	+	831355	+	
212	CR	ND	117109	117549	-	-	832750	+	
214	CR	CDS	117752	118645	-	-	833393	+	
216	CR	CDS	118733	119284	+	-	834374	+	
218	CR	CDS	119281	120135	+	-	834922	+	
220	CR	CDS	120178	121551	-	-	835819	+	
222	CR	CDS	122092	122856	+	-	837733	+	
224	CR	CDS	123017	125680	+	-	838658	+	
226	CR	CDS	125695	127587	+	-	841336	+	
228	CR	CDS	127912	129336	+	-	843553	+	
230	CR	CDS	129407	131260	-	-	845048	+	
232	CR	CDS	131615	134212	+	-	847256	+	
234	CR	CDS	134388	134750	+	-	850029	+	
236	CR	CDS	134788	135582	-	-	850429	+	
238	CR	rRNA	135598	136464	-	-	851239	+	
240	CR	rRNA	136570	136917	-	-	852211	+	
242	CR	tRNA	137083	138633	+	-	852724	+	
244	CR	rRNA	138835	141225	-	-	854476	+	
246	CR	tRNA	141431	141967	+	-	857072	+	
248	CR	tRNA	142008	142670	-	-	857649	+	
250	CR	tRNA	142779	143705	+	-	858420	+	
252	CR	ND	143702	144472	+	-	859343	+	
254	CR	tRNA	144577	145017	+	-	860218	+	
256	CR	CDS	145081	146310	+	+	860722	+	
258	CR	CDS	146314	146694	-	-	861955	+	
260	CR	CDS	146968	147870	+	-	862609	+	
262	CR	CDS	147944	148795	-	-	863585	+	
264	CR	CDS	148807	149601	-	-	864448	+	
266	CR	CDS	149715	150953	-	+	865356	+	
268	CR	CDS	151003	151599	-	+	866644	+	
270	CR	tRNA	151626	152231	-	-	867267	+	
272	CR	tRNA	152243	152812	-	-	867884	+	
274	CR	tRNA	152829	155426	-	-	868470	+	
276	CR	CDS	155461	156201	-	+	871102	+	
278	CR	CDS	156299	156883	-	-	871940	+	
280	CR	CDS	157253	157732	-	+	872894	+	
282	CR	CDS	157729	159126	-	+	873370	+	
284	CR	CDS	159186	160112	-	+	874827	+	
286	CR	CDS	160149	160604	-	+	875790	+	
288	CR	CDS	160782	161486	-	-	876423	+	
290	CR	CDS	161501	162031	-	-	877142	+	
292	CR	CDS	162105	164534	+	-	877746	+	
294	CR	CDS	164730	167264	+	-	880371	+	
296	CR	tRNA	167484	169727	+	-	883125	+	
298	CR	tRNA	169778	170575	+	-	885419	+	
300	CR	CDS	170575	171465	+	+	886216	+	
302	CR	CDS	171462	173444	+	-	887103	+	
304	CR	CDS	173602	174882	-	-	889243	+	
306	CR	CDS	175107	176528	+	+	890748	+	
308	CR	CDS	176610	176954	+	+	892251	+	
310	CR	CDS	177001	177624	-	-	892642	+	
312	CR	CDS	177662	178462	-	-	893303	+	
314	CR	CDS	178455	179153	-	-	894096	+	
316	CR	CDS	179237	180754	+	-	894878	+	
318	CR	CDS	180884	182308	+	-	896525	+	
320	CR	CDS	182463	183620	+	-	898104	+	
322	CR	CDS	183709	184095	-	-	899350	+	
324	CR	CDS	184257	185069	-	-	899898	+	
326	CR	CDS	185123	185947	-	-	900764	+	
328	CR	CDS	185978	188650	-	-	901619	+	
330	CR	CDS	188712	189506	-	-	904353	+	
332	CR	CDS	189712	189847	+	-	905353	+	
334	CR	ND	189874	190599	+	-	905515	+	
336	CR	CDS	190857	191708	+	-	906498	+	
338	CR	CDS	191855	192580	+	+	907496	+	
340	CR	CDS	192872	193429	+	+	908513	+	
342	CR	CDS	193521	194717	+	+	909162	+	
344	CR	CDS	194903	195664	+	-	910544	+	
346	CR	CDS	195677	196534	+	-	911318	+	
348	CR	CDS	196546	197898	+	-	912187	+	
350	CR	CDS	197928	200360	+	-	913569	+	
352	CR	CDS	200482	200967	+	-	916123	+	
354	CR	CDS	200971	201996	+	+	916612	+	
356	CR	CDS	202101	202556	+	-	917742	+	
358	CR	CDS	202560	203348	+	-	918201	+	
360	CR	CDS	203348	204496	+	-	918989	+	
362	CR	CDS	204493	205089	+	-	920134	+	
364	CR	CDS	205126	208608	+	-	920767	+	
366	CR	CDS	208621	209580	+	-	924262	+	
368	CR	CDS	209679	211820	+	-	925320	+	
370	CR	CDS	211877	212266	+	-	927518	+	
372	CR	CDS	212331	213629	+	+	927972	+	
374	CR	CDS	213678	213932	-	-	929319	+	
376	CR	CDS	213925	214125	-	+	929566	+	
378	CR	CDS	214291	214836	+	-	929932	+	
380	CR	CDS	214833	215255	+	-	930474	+	
382	CR	CDS	215269	215979	+	+	930910	+	
384	CR	CDS	216179	217003	-	-	931820	+	
386	CR	CDS	217057	218775	-	-	932698	+	
388	CR	CDS	218887	219594	-	-	934528	+	
390	CR	CDS	219591	219995	-	-	935232	+	
392	CR	CDS	220113	220928	-	-	935754	+	
394	CR	CDS	220968	221621	-	+	936609	+	
396	CR	CDS	221614	222645	-	-	937255	+	
398	CR	CDS	222833	223408	+	-	938474	+	
400	CR	CDS	223771	225312	+	-	939412	+	
402	CR	CDS	225381	225457	+	-	941022	+	
404	CR	CDS	225500	225575	+	-	941141	+	
406	CR	CDS	225759	228662	+	-	941400	+	
408	CR	CDS	228756	228875	+	+	944397	+	
